Who;What;When;Where;Why;How;Category
1;1;1;1;0;0.5;Business
1;1;1;1;0;1;Business
1;0.5;1;1;1;0.5;Business
1;1;0.5;1;0;0.5;Business
1;1;1;1;0;1;Business
1;1;0;1;1;1;Entertainment
1;1;0.5;0.5;0;0;Entertainment
1;1;1;1;0.5;1;Entertainment
1;0.5;0;0.5;1;0.5;Entertainment
0;NaN;1;1;0.5;0.5;Entertainment
1;1;0.5;1;1;1;Politics
1;0.5;0;1;1;1;Politics
1;1;1;1;1;0;Politics
0;0.5;0.5;1;0.5;1;Politics
1;1;1;1;0.5;0.5;Politics
1;0.5;0;0.5;0;0.5;Sport
1;1;0.5;1;0.5;0;Sport
1;1;0.5;0.5;0.5;0;Sport
0.5;1;1;1;1;0.5;Sport
1;0.5;1;0.5;1;1;Sport
1;0.5;0.5;1;0.5;1;Tech
0.5;0.5;0.5;1;1;0.5;Tech
1;1;1;NaN;1;1;Tech
0.5;0.5;0;1;1;1;Tech
0;0.5;0;1;0.5;1;Tech
1;1;0.5;0;0;0.5;Business
1;1;1;NaN;0;1;Business
1;0.5;0.5;1;0.5;1;Business
1;0.5;1;1;0.5;0.5;Business
0.5;0.5;1;1;0;0;Business
0.5;0.5;NaN;1;0.5;0.5;Entertainment
1;0.5;1;1;0.5;1;Entertainment
0;1;1;NaN;0.5;1;Entertainment
1;1;1;NaN;0.5;1;Entertainment
1;1;1;NaN;0;0.5;Entertainment
1;1;1;1;1;1;Politics
1;0.5;NaN;1;0.5;0.5;Politics
1;1;1;0;0;1;Politics
1;1;1;1;1;1;Politics
1;1;1;1;0.5;0.5;Politics
1;1;1;1;0;0.5;Sport
1;1;1;1;0;1;Sport
1;0;0;1;0;1;Sport
1;1;1;1;1;1;Sport
1;1;1;0.5;0.5;0.5;Sport
1;1;NaN;0;0;1;Tech
1;1;NaN;0;0;0.5;Tech
1;0.5;1;1;0.5;0.5;Tech
1;1;1;1;0;0.5;Tech
0;0;1;1;0;1;Tech
0.5;0;1;1;0.5;0.5;Business
1;1;0;1;0;0.5;Business
1;1;0.5;0.5;1;0;Business
1;1;1;1;1;1;Business
1;1;1;1;0;1;Business
1;0.5;0;0.5;0;1;Entertainment
1;0.5;1;1;1;1;Entertainment
1;0;1;0.5;0.5;0.5;Entertainment
1;0.5;1;NaN;1;1;Entertainment
0.5;0.5;1;1;0;0.5;Entertainment
1;0.5;0.5;0;0.5;0.5;Politics
0.5;0.5;1;1;1;0.5;Politics
1;0;0.5;0.5;0;0.5;Politics
0;0.5;0.5;0;0;0;Politics
1;1;0.5;1;0.5;1;Politics
1;0.5;0.5;1;1;1;Sport
0.5;0.5;1;1;0.5;0.5;Sport
1;1;1;1;0.5;1;Sport
1;0.5;0;0.5;0.5;0.5;Sport
1;0.5;1;0;0.5;1;Sport
0;0;1;1;1;1;Tech
1;1;0;1;0;0.5;Tech
0;0.5;1;1;1;1;Tech
0;0;0.5;1;1;1;Tech
1;0.5;0;1;0.5;0.5;Tech
1;1;1;1;0;0.5;Business
0;0;0.5;1;;1;Business
1;1;NaN;1;0.5;0.5;Business
1;0.5;1;0;0.5;0.5;Business
1;0.5;0.5;1;1;0;Business
1;0.5;1;1;0;1;Entertainment
1;1;0.5;1;0;1;Entertainment
1;0.5;NaN;NaN;1;0;Entertainment
1;1;1;1;0;1;Entertainment
1;0.5;0.5;0;1;1;Entertainment
1;1;1;1;0;1;Politics
1;1;1;1;0;0.5;Politics
1;1;1;1;0.5;0;Politics
1;0.5;1;1;1;1;Politics
0.5;1;1;1;1;1;Politics
1;1;1;0.5;0.5;0.5;Sport
1;0.5;1;0;0;1;Sport
1;1;0;1;0;0.5;Sport
1;1;1;0.5;0.5;0.5;Sport
1;0.5;0;1;0;0.5;Sport
1;0.5;1;NaN;0;0.5;Tech
0.5;0.5;NaN;1;0.5;0.5;Tech
0.5;1;1;0.5;0;0.5;Tech
1;0.5;1;0.5;0.5;0.5;Tech
0;0;0;0.5;1;0.5;Tech
