Who;What;When;Where;Why;How;Category;Wortzahl
NaN;NaN;1;1;NaN;1;Business;272
NaN;NaN;NaN;NaN;0;0;Business;303
1;1;NaN;NaN;NaN;1;Business;900
0.5;1;NaN;NaN;0;0.5;Business;310
1;1;NaN;1;0.5;0;Business;746
1;1;1;NaN;0;0;Entertainment;762
1;1;NaN;1;1;0;Entertainment;379
NaN;NaN;NaN;NaN;0;0;Entertainment;514
1;0.5;NaN;NaN;0;NaN;Entertainment;482
0.5;0.5;0;1;0;0;Entertainment;686
NaN;NaN;NaN;NaN;0;0;Politics;499
NaN;NaN;NaN;1;0;0;Politics;1044
NaN;NaN;NaN;NaN;0;0;Politics;614
NaN;NaN;NaN;NaN;0;0.5;Politics;785
NaN;NaN;NaN;1;0;0;Politics;790
0.5;0.5;NaN;1;0.5;0.5;Sport;357
1;1;NaN;NaN;0.5;1;Sport;252
1;1;NaN;NaN;0.5;0;Sport;332
1;1;NaN;1;1;0;Sport;171
1;1;1;1;0.5;NaN;Sport;255
1;0.5;NaN;1;0.5;1;Tech;392
NaN;NaN;NaN;NaN;0.5;1;Tech;557
NaN;NaN;NaN;NaN;NaN;1;Tech;963
0.5;0.5;NaN;1;0;0;Tech;488
NaN;NaN;NaN;0.5;0;0.5;Tech;600
1;1;1;NaN;NaN;1;Business;379
1;1;NaN;NaN;NaN;0.5;Business;229
1;1;NaN;1;1;0.5;Business;987
1;0.5;NaN;NaN;0.5;1;Business;326
0.5;0.5;1;1;0;0.5;Business;432
NaN;NaN;NaN;1;0;1;Entertainment;699
1;1;NaN;NaN;0.5;1;Entertainment;233
0.5;1;NaN;NaN;0;1;Entertainment;170
1;0;NaN;NaN;0;1;Entertainment;134
1;1;NaN;NaN;0.5;1;Entertainment;195
0.5;1;1;NaN;NaN;1;Politics;1208
1;1;1;1;0.5;1;Politics;1741
1;1;NaN;NaN;NaN;0.5;Politics;528
1;1;1;1;0.5;0.5;Politics;1157
1;1;NaN;1;0.5;1;Politics;505
1;1;NaN;NaN;0;0;Sport;483
0;1;1;NaN;0;1;Sport;338
1;1;1;1;NaN;0.5;Sport;368
1;1;NaN;NaN;0;0.5;Sport;438
NaN;NaN;NaN;NaN;0;0;Sport;488
1;1;1;NaN;0.5;1;Tech;347
1;1;NaN;NaN;0.5;1;Tech;716
NaN;NaN;NaN;NaN;NaN;0.5;Tech;672
1;1;NaN;NaN;NaN;0.5;Tech;532
1;1;1;NaN;0;1;Tech;606
NaN;NaN;NaN;1;NaN;0.5;Business;1830
1;0.5;NaN;NaN;0;0;Business;1748
NaN;NaN;NaN;0;NaN;0.5;Business;703
NaN;NaN;NaN;NaN;NaN;1;Business;296
NaN;NaN;NaN;NaN;NaN;1;Business;281
1;0.5;NaN;NaN;0;1;Entertainment;1312
1;1;NaN;NaN;0;0;Entertainment;1210
1;0.5;NaN;0.5;0;0.5;Entertainment;1570
0.5;0.5;NaN;NaN;0;0.5;Entertainment;700
NaN;NaN;NaN;0;0;1;Entertainment;1363
NaN;NaN;1;NaN;NaN;0.5;Politics;1791
NaN;NaN;NaN;NaN;NaN;1;Politics;1382
0.5;0;NaN;1;0;1;Politics;1064
NaN;NaN;1;NaN;NaN;0;Politics;1732
NaN;NaN;NaN;NaN;0;1;Politics;2006
NaN;NaN;NaN;1;1;NaN;Sport;1307
NaN;NaN;NaN;NaN;0;0.5;Sport;1060
NaN;NaN;0;NaN;NaN;NaN;Sport;1893
NaN;NaN;NaN;1;0.5;1;Sport;952
0.5;0.5;NaN;NaN;0.5;1;Sport;1173
1;1;NaN;NaN;NaN;1;Tech;1303
1;1;NaN;NaN;0;1;Tech;565
0.5;1;NaN;NaN;NaN;1;Tech;1506
NaN;NaN;NaN;NaN;0.5;1;Tech;1099
NaN;NaN;NaN;NaN;NaN;1;Tech;1363
1;1;NaN;1;0.5;1;Business;742
1;1;NaN;NaN;NaN;1;Business;1003
0.5;0.5;NaN;1;NaN;NaN;Business;464
NaN;NaN;NaN;NaN;1;1;Business;431
1;1;NaN;NaN;0;0.5;Business;506
1;0.5;NaN;NaN;0.5;1;Entertainment;380
NaN;NaN;NaN;1;NaN;1;Entertainment;95
1;0.5;NaN;NaN;0;1;Entertainment;589
NaN;NaN;NaN;NaN;NaN;1;Entertainment;238
1;0.5;NaN;NaN;0.5;1;Entertainment;407
1;0.5;NaN;NaN;0;1;Politics;308
0;0;NaN;NaN;0;1;Politics;354
NaN;NaN;NaN;1;0.5;0;Politics;335
1;1;NaN;1;0.5;1;Politics;839
NaN;NaN;NaN;1;0.5;1;Politics;566
1;0.5;NaN;NaN;NaN;0;Sport;212
NaN;NaN;NaN;NaN;NaN;1;Sport;380
1;1;1;NaN;NaN;1;Sport;346
1;1;NaN;1;0;1;Sport;231
1;1;NaN;1;0.5;NaN;Sport;256
NaN;NaN;NaN;NaN;NaN;NaN;Tech;499
0;0.5;NaN;NaN;0;0;Tech;668
1;1;0;1;NaN;1;Tech;153
1;0.5;NaN;NaN;1;1;Tech;356
NaN;NaN;NaN;1;NaN;1;Tech;1289
